,industry_code,product_code,product_name,item
60,212290,21229019,All other metal ores,PCU21229021229019
61,212290,212290P,Primary products,PCU212290212290P
62,2123--,2123--,Nonmetallic mineral mining & quarrying,PCU2123--2123--
63,21231-,21231-,Stone mining & quarrying,PCU21231-21231-
64,212311,212311,Dimension stone mining and quarrying,PCU212311212311
65,212311,2123110,Dimension stone,PCU2123112123110
66,212311,212311P,Primary products,PCU212311212311P
67,212311,212311S,Secondary products,PCU212311212311S
68,212312,212312,Crushed and broken limestone mining,PCU212312212312
69,212312,2123120,Crushed and broken limestone,PCU2123122123120
70,212312,212312M,Miscellaneous receipts,PCU212312212312M
71,212312,212312P,Primary products,PCU212312212312P
72,212312,212312S,Secondary products,PCU212312212312S
73,212313,212313,Crushed and broken granite mining,PCU212313212313
74,212313,2123130,Crushed and broken granite,PCU2123132123130
75,212313,212313P,Primary products,PCU212313212313P
76,212319,212319,Other crushed and broken stone mining,PCU212319212319
77,212319,2123190,"Bituminous limestone and sandstone, and other crushed and broken stone",PCU2123192123190
78,212319,212319P,Primary products,PCU212319212319P
79,212319,212319S,Secondary products,PCU212319212319S
80,21232-,21232-,Sand/gravel/clay/refractory minerals mining,PCU21232-21232-
81,212321,212321,Construction sand and gravel mining,PCU212321212321
82,212321,2123210,"Construction sand and gravel (run of pit/bank, washed, screened, etc)",PCU2123212123210
83,212321,21232101,"Construction sand and gravel, Northeast",PCU21232121232101
84,212321,21232102,"Construction sand and gravel, Midwest",PCU21232121232102
85,212321,21232103,"Construction sand and gravel, South",PCU21232121232103
86,212321,21232104,"Construction sand and gravel, West",PCU21232121232104
87,212321,212321M,Miscellaneous receipts,PCU212321212321M
88,212321,212321P,Primary products,PCU212321212321P
89,212321,212321S,Secondary products,PCU212321212321S
90,212321,212321SS,Secondary products,PCU212321212321SS
91,212322,212322,Industrial sand mining,PCU212322212322
92,212322,2123221,Industrial glass sand,PCU2123222123221
93,212322,2123223,Industrial molding sand,PCU2123222123223
94,212322,2123229,Other industrial sand,PCU2123222123229
95,212322,21232291,Hydraulic fracturing sand,PCU21232221232291
96,212322,21232292,All other industrial sand,PCU21232221232292
97,212322,212322P,Primary products,PCU212322212322P
98,212324,212324,Kaolin and ball clay mining,PCU212324212324
99,212324,2123240,Kaolin and ball clay,PCU2123242123240
100,212324,212324P,Primary products,PCU212324212324P
101,212325,212325,"Clay, ceramic, and refractory minerals mining",PCU212325212325
102,212325,2123255,Bentonite,PCU2123252123255
103,212325,2123259,"Other clay, ceramic, and refractory minerals",PCU2123252123259
104,212325,212325B,Common (miscellaneous) clay and shale,PCU212325212325B
105,212325,212325P,Primary products,PCU212325212325P
106,212325,212325S,Secondary products,PCU212325212325S
107,212325,212325SS,Secondary products,PCU212325212325SS
108,212325,212325V,"Fire clay, fuller's earth, and feldspar",PCU212325212325V
109,21239-,21239-,Other nonmetallic mineral mining & quarrying,PCU21239-21239-
110,212391,212391,"Potash, soda, and borate mineral mining",PCU212391212391
111,212391,2123913,Sodium carbonate and sulfate,PCU2123912123913
112,212391,2123916,Potassium salts and boron compounds,PCU2123912123916
113,212391,212391P,Primary products,PCU212391212391P
114,212391,212391S1,Secondary products,PCU212391212391S1
115,212393,212393,Other chemical and fertilizer mineral mining,PCU212393212393
116,212393,2123933,Rock salt,PCU2123932123933
117,212393,2123937,Other chemical and fertilizer minerals,PCU2123932123937
118,212393,212393P,Primary products,PCU212393212393P
119,212393,212393S,Secondary products,PCU212393212393S
120,212399,212399,All other nonmetallic mineral mining,PCU212399212399
121,212399,212399A,All other nonmetallic minerals,PCU212399212399A
122,212399,212399P,Primary products,PCU212399212399P
123,212399,212399S,Secondary products,PCU212399212399S
124,213---,213---,Mining support activities,PCU213---213---
125,2131--,2131--,Mining support activities,PCU2131--2131--
126,21311-,21311-,Mining support activities,PCU21311-21311-
127,213111,213111,Drilling oil and gas wells,PCU213111213111
128,213111,21311103,Oil and gas well directional drilling control,PCU21311121311103
129,213111,21311104,"Drilling oil and gas wells, including drilling in, spudding in or tailing in",PCU21311121311104
130,213111,21311105,Reworking oil and gas wells,PCU21311121311105
131,213111,213111P,Primary services,PCU213111213111P
132,213112,213112,Support activities for oil and gas operations,PCU213112213112
133,213112,2131120,Oil and gas field support services,PCU2131122131120
134,213112,21311201,Oil and gas field exploration services,PCU21311221311201
135,213112,21311203,Other oil and gas field support services,PCU21311221311203
136,213112,213112M,Miscellaneous receipts,PCU213112213112M
137,213112,213112P,Primary services,PCU213112213112P
138,213113,213113,Support activities for coal mining,PCU213113213113
139,213113,2131130,Coal mining services,PCU2131132131130
140,213113,213113P,Primary services,PCU213113213113P
141,213114,213114,Support activities for metal mining,PCU213114213114
142,213114,2131140,Metal mining services,PCU2131142131140
143,213114,213114P,Primary services,PCU213114213114P
144,213115,213115,Support activities for nonmetallic minerals (except fuels) mining,PCU213115213115
145,213115,2131150,Nonmetallic minerals (except fuels) mining support activity,PCU2131152131150
146,213115,213115P,Primary services,PCU213115213115P
147,221---,221---,Utilities,PCU221---221---
148,2211--,2211--,"Electric power generation, transmission, and distribution",PCU2211--2211--
149,22111-,22111-,Electric power generation,PCU22111-22111-
150,221110,221110,Electric power generation,PCU221110221110
151,221110,2211104,Utilities,PCU2211102211104
152,221110,2211105,Non-utilities,PCU2211102211105
153,221110,221110M,Miscellaneous receipts,PCU221110221110M
154,221110,221110P,Primary products,PCU221110221110P
155,22112-,22112-,"Electric power transmission, control, and distribution",PCU22112-22112-
156,221121,221121,Electric bulk power transmission and control,PCU221121221121
157,221121,2211213,Electric bulk power transmission and control,PCU2211212211213
158,221121,221121P,Primary products,PCU221121221121P
159,221122,221122,Electric power distribution,PCU221122221122
160,221122,22112241,Residential electric power,PCU22112222112241
161,221122,221122411,New England,PCU221122221122411
162,221122,221122412,Middle Atlantic,PCU221122221122412
163,221122,221122413,East North Central,PCU221122221122413
164,221122,221122414,West North Central,PCU221122221122414
165,221122,221122415,South Atlantic,PCU221122221122415
166,221122,221122416,East South Central,PCU221122221122416
167,221122,221122417,West South Central,PCU221122221122417
168,221122,221122418,Mountain,PCU221122221122418
169,221122,221122419,Pacific,PCU221122221122419
170,221122,22112242,Commercial electric power,PCU22112222112242
171,221122,221122421,New England,PCU221122221122421
172,221122,221122422,Middle Atlantic,PCU221122221122422
173,221122,221122423,East North Central,PCU221122221122423
174,221122,221122424,West North Central,PCU221122221122424
175,221122,221122425,South Atlantic,PCU221122221122425
176,221122,221122426,East South Central,PCU221122221122426
177,221122,221122427,West South Central,PCU221122221122427
178,221122,221122428,Mountain,PCU221122221122428
179,221122,221122429,Pacific,PCU221122221122429
180,221122,22112243,Industrial electric power,PCU22112222112243
181,221122,221122431,New England,PCU221122221122431
182,221122,221122432,Middle Atlantic,PCU221122221122432
183,221122,221122433,East North Central,PCU221122221122433
184,221122,221122434,West North Central,PCU221122221122434
185,221122,221122435,South Atlantic,PCU221122221122435
186,221122,221122436,East South Central,PCU221122221122436
187,221122,221122437,West South Central,PCU221122221122437
188,221122,221122438,Mountain,PCU221122221122438
189,221122,221122439,Pacific,PCU221122221122439
190,221122,22112245,Transportation electric power,PCU22112222112245
191,221122,221122M,Miscellaneous receipts,PCU221122221122M
192,221122,221122MM,Miscellaneous receipts,PCU221122221122MM
193,221122,221122P,Primary products,PCU221122221122P
194,221122,221122S1,Secondary products,PCU221122221122S1
195,2212--,2212--,Natural gas distribution,PCU2212--2212--
196,22121-,22121-,Natural gas distribution,PCU22121-22121-
197,221210,221210,Natural gas distribution,PCU221210221210
198,221210,22121011,Natural gas to ultimate consumers,PCU22121022121011
199,221210,221210112,Residential natural gas,PCU221210221210112
200,221210,2212101121,New England residential natural gas,PCU2212102212101121
201,221210,2212101122,Middle Atlantic residential natural gas,PCU2212102212101122
202,221210,2212101123,East North Central residential natural gas,PCU2212102212101123
203,221210,2212101124,West North Central residential natural gas,PCU2212102212101124
204,221210,2212101125,South Atlantic residential natural gas,PCU2212102212101125
205,221210,2212101126,East South Central residential natural gas,PCU2212102212101126
206,221210,2212101127,West South Central residential natural gas,PCU2212102212101127
207,221210,2212101128,Mountain residential natural gas,PCU2212102212101128
208,221210,2212101129,Pacific residential natural gas,PCU2212102212101129
209,221210,221210113,Commercial natural gas,PCU221210221210113
210,221210,2212101131,New England commercial natural gas,PCU2212102212101131
211,221210,2212101132,Middle Atlantic commercial natural gas,PCU2212102212101132
212,221210,2212101133,East North Central commercial natural gas,PCU2212102212101133
213,221210,2212101134,West North Central commercial natural gas,PCU2212102212101134
214,221210,2212101135,South Atlantic commercial natural gas,PCU2212102212101135
215,221210,2212101136,East South Central commercial natural gas,PCU2212102212101136
216,221210,2212101137,West South Central commercial natural gas,PCU2212102212101137
217,221210,2212101138,Mountain commercial natural gas,PCU2212102212101138
218,221210,2212101139,Pacific commercial natural gas,PCU2212102212101139
219,221210,221210114,Industrial natural gas,PCU221210221210114
220,221210,2212101141,New England industrial natural gas,PCU2212102212101141
221,221210,2212101142,Middle Atlantic industrial natural gas,PCU2212102212101142
222,221210,2212101143,East North Central industrial natural gas,PCU2212102212101143
223,221210,2212101144,West North Central industrial natural gas,PCU2212102212101144
224,221210,2212101145,South Atlantic industrial natural gas,PCU2212102212101145
225,221210,2212101146,East South Central industrial natural gas,PCU2212102212101146
226,221210,2212101147,West South Central industrial natural gas,PCU2212102212101147
227,221210,2212101148,Mountain industrial natural gas,PCU2212102212101148
228,221210,2212101149,Pacific industrial natural gas,PCU2212102212101149
229,221210,221210115,To electric power,PCU221210221210115
230,221210,22121012,Delivered to ultimate consumers for the account of others (transportation only),PCU22121022121012
231,221210,221210122,Industrial consumer,PCU221210221210122
232,221210,221210123,Other consumers,PCU221210221210123
233,221210,221210M,Miscellaneous receipts,PCU221210221210M
234,221210,221210MM,Miscellaneous receipts,PCU221210221210MM
235,221210,221210P,Primary products,PCU221210221210P
236,236211,236211,New industrial building construction,PCU236211236211
237,236211,236211P,Primary products,PCU236211236211P
238,236221,236221,New warehouse building construction,PCU236221236221
239,236221,236221P,Primary products,PCU236221236221P
240,236222,236222,New school building construction,PCU236222236222
241,236222,236222P,Primary products,PCU236222236222P
242,236223,236223,New office building construction,PCU236223236223
243,236223,236223P,Primary products,PCU236223236223P
244,236224,236224,New health care building construction,PCU236224236224
245,236224,236224P,Primary products,PCU236224236224P
246,236400,236400,New nonresidential building construction by contractor type/region,PCU236400236400
247,236400,2364001,General contractors,PCU2364002364001
248,236400,23640011,"General contractors, Northeast",PCU23640023640011
249,236400,23640012,"General contractors, South",PCU23640023640012
250,236400,23640013,"General contractors, Midwest",PCU23640023640013
251,236400,23640014,"General contractors, West",PCU23640023640014
252,236400,236400221,"Plumbing, heating, and air conditioning contractors",PCU236400236400221
253,236400,2364002211,"Plumbing, heating, and air conditioning contractors, Northeast",PCU2364002364002211
254,236400,2364002212,"Plumbing, heating, and air conditioning contractors, South",PCU2364002364002212
255,236400,2364002213,"Plumbing, heating, and air conditioning contractors, Midwest",PCU2364002364002213
256,236400,2364002214,"Plumbing, heating, and air conditioning contractors, West",PCU2364002364002214
257,236400,236400222,Electrical contractors,PCU236400236400222
258,236400,2364002221,"Electrical contractors, northeast",PCU2364002364002221
259,236400,2364002222,"Electrical contractors, South",PCU2364002364002222
260,236400,2364002223,"Electrical contractors, Midwest",PCU2364002364002223
261,236400,2364002224,"Electrical contractors, West",PCU2364002364002224
262,236400,236400223,Roofing contractors,PCU236400236400223
263,236400,2364002231,"Roofing contractors, Northeast",PCU2364002364002231
264,236400,2364002232,"Roofing contractors, South",PCU2364002364002232
265,236400,2364002233,"Roofing contractors, Midwest",PCU2364002364002233
266,236400,2364002234,"Roofing contractors, West",PCU2364002364002234
267,236400,236400224,Poured concrete foundation and structure contractors,PCU236400236400224
268,236400,2364002241,"Poured concrete foundation and structure contractors, Northeast",PCU2364002364002241
269,236400,2364002242,"Poured concrete foundation and structure contractors, South",PCU2364002364002242
270,236400,2364002243,"Poured concrete foundation and structure contractors, Midwest",PCU2364002364002243
271,236400,2364002244,"Poured concrete foundation and structure contractors, West",PCU2364002364002244
272,236500,236500,New nonresidential building construction by region,PCU236500236500
273,236500,2365001,"New nonresidential building construction, Northeast",PCU2365002365001
274,236500,2365002,"New nonresidential building construction, South",PCU2365002365002
275,236500,2365003,"New nonresidential building construction, Midwest",PCU2365002365003
276,236500,2365004,"New nonresidential building construction, West",PCU2365002365004
277,23811X,23811X,"Concrete contractors, nonresidential building work",PCU23811X23811X
278,23811X,23811XP,Primary products,PCU23811X23811XP
279,23816X,23816X,"Roofing contractors, nonresidential building work",PCU23816X23816X
280,23816X,23816XP,Primary products,PCU23816X23816XP
281,2381MR,2381MR,Nonresidential building maintenance & repair,PCU2381MR2381MR
282,23821X,23821X,"Electrical contractors, nonresidential building work",PCU23821X23821X
283,23821X,23821XP,Primary products,PCU23821X23821XP
284,23822X,23822X,"Plumbing, heating and air-conditioning contractors, nonresidential building work",PCU23822X23822X
285,23822X,23822XP,Primary products,PCU23822X23822XP
286,311---,311---,Food mfg,PCU311---311---
287,3111--,3111--,Animal food mfg,PCU3111--3111--
288,31111-,31111-,Animal food mfg,PCU31111-31111-
289,311111,311111,Dog and cat food manufacturing,PCU311111311111
290,311111,3111111,Dog food,PCU3111113111111
291,311111,31111111,Canned dog food,PCU31111131111111
292,311111,31111114,Dry and semi moist dog food,PCU31111131111114
293,311111,3111114,Cat food,PCU3111113111114
294,311111,31111144,Canned cat food,PCU31111131111144
295,311111,31111145,Dry and semi moist cat food,PCU31111131111145
296,311111,311111M1,Miscellaneous receipts,PCU311111311111M1
297,311111,311111P,Primary products,PCU311111311111P
298,311111,311111S,Secondary products,PCU311111311111S
299,311119,311119,Other animal food manufacturing,PCU311119311119
300,311119,3111191,"Chicken and turkey feed, supplements, concentrates, and premixes",PCU3111193111191
301,311119,3111195,"Complete dairy cattle feed, supplements, concentrates, and premixes",PCU3111193111195
302,311119,3111199,"Other prepared animal feeds, including feeding materials and adjuncts",PCU3111193111199
303,311119,311119B,"Complete swine feed, supplements, concentrates, and premixes",PCU311119311119B
304,311119,311119H,"Complete beef cattle feed, supplements, concentrates, and premixes",PCU311119311119H
305,311119,311119M,Miscellaneous receipts,PCU311119311119M
306,311119,311119MM,Miscellaneous receipts,PCU311119311119MM
307,311119,311119N,"Poultry, exc. chicken and turkey, and livestock, exc. cattle and swine, feed",PCU311119311119N
308,311119,311119P,Primary products,PCU311119311119P
309,311119,311119R,"Pet (excluding dog and cat), laboratory, and fur animal feed",PCU311119311119R
310,311119,311119S,Secondary products,PCU311119311119S
311,311119,311119SM,Secondary products and miscellaneous receipts,PCU311119311119SM
312,3112--,3112--,Grain & oilseed milling,PCU3112--3112--
313,31121-,31121-,Flour milling & malt mfg,PCU31121-31121-
314,311211,311211,Flour milling,PCU311211311211
315,311211,3112111,"Wheat flour (except flour mixes), made in flour mills",PCU3112113112111
316,311211,3112114,"Wheat mill products, except flour",PCU3112113112114
317,311211,3112117,Corn mill products,PCU3112113112117
318,311211,3112119,Other grain mill products,PCU3112113112119
319,311211,311211A,"Prepared flour mixes, including refrigerated and frozen doughs and batters, made in flour mills",PCU311211311211A
320,311211,311211M,Miscellaneous receipts,PCU311211311211M
321,311211,311211P,Primary products,PCU311211311211P
322,311211,311211S,Secondary products,PCU311211311211S
323,311211,311211SS,Secondary products,PCU311211311211SS
324,311212,311212,Rice milling,PCU311212311212
325,311212,3112120,Milled rice and byproducts,PCU3112123112120
326,311212,31121204,"Milled rice (incl second heads, screenings, brewers, bran, sharps, rice flour, and  byproducts)",PCU31121231121204
327,311212,31121206,Head rice not packaged with other ingredients,PCU31121231121206
328,311212,311212P,Primary products,PCU311212311212P
329,311213,311213,Malt manufacturing,PCU311213311213
330,311213,3112130,Malt and malt by-products,PCU3112133112130
331,311213,311213P,Primary products,PCU311213311213P
332,31122-,31122-,Starch & vegetable fats & oils mfg,PCU31122-31122-
333,311221,311221,Wet corn milling,PCU311221311221
334,311221,3112211,"Corn sweeteners, made by wet milling",PCU3112213112211
335,311221,3112214,"Manufactured starch, made by wet milling",PCU3112213112214
336,311221,3112218,"Corn oil, made by wet milling",PCU3112213112218
337,311221,311221A,Wet process corn byproducts,PCU311221311221A
338,311221,311221P,Primary products,PCU311221311221P
339,311221,311221S,Secondary products,PCU311221311221S
340,311221,311221SS,Secondary products,PCU311221311221SS
341,311224,311224,Soybean and other oilseed processing,PCU311224311224
342,311224,3112243,Soybean oil,PCU3112243112243
343,311224,31122431,"Crude soybean oil, degummed, made from soybeans crushed in the same establishment",PCU31122431122431
344,311224,31122432,"Soybean oil, all other types",PCU31122431122432
345,311224,3112244,"Soybean cake, meal, and other by-products",PCU3112243112244
346,311224,31122441,Soybean cake and meal,PCU31122431122441
347,311224,31122442,"Other soybean products, including isolates and concentrates",PCU31122431122442
348,311224,3112245,"Cottonseed oil, once-refined",PCU3112243112245
349,311224,3112246,Crude cottonseed oil,PCU3112243112246
350,311224,3112247,Cotton linters,PCU3112243112247
351,311224,3112249,Other vegetable oils and vegetable mill products,PCU3112243112249
352,311224,31122491,"Other crude vegetable oils (linseed, peanut, sunflower, etc.)",PCU31122431122491
353,311224,31122492,"Other vegetable oils, once refined, made from seeds crushed in the same establishment",PCU31122431122492
354,311224,31122493,"Other vegetable oil mill products, including linseed, peanut and sunflower seeds",PCU31122431122493
355,311224,311224B,"Cottonseed cake, meal, hulls, and other byproducts",PCU311224311224B
356,311224,311224B1,Cottonseed cake and meal,PCU311224311224B1
357,311224,311224B2,Cottonseed hulls and other byproducts,PCU311224311224B2
358,311224,311224M,Miscellaneous receipts,PCU311224311224M
359,311224,311224P,Primary products,PCU311224311224P
360,311225,311225,Fats and oils refining and blending,PCU311225311225
361,311225,3112252,Shortening and cooking oils,PCU3112253112252
362,311225,3112254,"Margarine, butter blends, and butter substitutes",PCU3112253112254
363,311225,311225M,Miscellaneous receipts,PCU311225311225M
364,311225,311225P,Primary products,PCU311225311225P
365,311225,311225S,Secondary products,PCU311225311225S
366,311225,311225SS,Secondary products,PCU311225311225SS
367,31123-,31123-,Breakfast cereal manufacturing,PCU31123-31123-
368,311230,311230,Breakfast cereal manufacturing,PCU311230311230
369,311230,3112301,Breakfast cereal,PCU3112303112301
370,311230,311230P,Primary products,PCU311230311230P
371,311230,311230S,Secondary products,PCU311230311230S
372,311230,311230SS,Secondary products,PCU311230311230SS
373,3113--,3113--,Sugar & confectionery product mfg,PCU3113--3113--
374,31131-,31131-,Sugar mfg,PCU31131-31131-
375,311313,311313,Beet sugar manufacturing,PCU311313311313
376,311313,3113130,Beet sugar,PCU3113133113130
377,311313,311313P,Primary products,PCU311313311313P
378,311314,311314,Cane sugar manufacturing,PCU311314311314
379,311314,3113141,Raw cane sugar and sugarcane mill products and by-products,PCU3113143113141
380,311314,3113143,Refined granulated cane sugar and by-products,PCU3113143113143
381,311314,311314P,Primary products,PCU311314311314P
382,311314,311314S,Secondary products,PCU311314311314S
383,31134-,31134-,Nonchocolate confectionery mfg,PCU31134-31134-
384,311340,311340,Nonchocolate confectionery manufacturing,PCU311340311340
385,311340,3113401,"Nonchocolate-type confectioneries, made/pkg. for shipment",PCU3113403113401
386,311340,3113404,"Chewing gum, bubble gum, and chewing gum base",PCU3113403113404
387,311340,3113407,Other confectionery-type products,PCU3113403113407
388,311340,311340M,Miscellaneous receipts,PCU311340311340M
389,311340,311340MM,Miscellaneous receipts,PCU311340311340MM
390,311340,311340P,Primary products,PCU311340311340P
391,311340,311340S,Secondary products,PCU311340311340S
392,31135-,31135-,Chocolate and confectionery manufacturing,PCU31135-31135-
393,311351,311351,Chocolate and confectionery mfg. from cacao,PCU311351311351
394,311351,3113511,"Chocolate coatings, made from cacao beans",PCU3113513113511
395,311351,3113514,"Chocolate/chocolate-type confectionery prods., cacao beans",PCU3113513113514
396,311351,3113517,"Other chocolate and cocoa products, made from cacao beans",PCU3113513113517
397,311351,31135171,"Sweetened chocolate, excluding coatings, cacao beans",PCU31135131135171
398,311351,31135172,"Sweet./unsweet. chocolate/cocoa powder, cacao beans",PCU31135131135172
399,311351,31135173,"Cocoa butter/liquor/cocoa base chocolate syrup, cacao beans",PCU31135131135173
400,311351,311351P,Primary products,PCU311351311351P
401,311352,311352,Confectionery mfg. from purchased chocolate,PCU311352311352
402,311352,3113521,"Chocolate/confectionery prods., purch. chocolate not retailed",PCU3113523113521
403,311352,3113522,"Chocolate and confectioneries, purchased chocolate retailed",PCU3113523113522
404,311352,311352M,Miscellaneous receipts,PCU311352311352M
405,311352,311352P,Primary products,PCU311352311352P
406,311352,311352S,Secondary products,PCU311352311352S
407,3114--,3114--,Fruit & vegetable preserving & specialty food mfg,PCU3114--3114--
408,31141-,31141-,Frozen food manufacturing,PCU31141-31141-
409,311411,311411,Frozen fruit and vegetable manufacturing,PCU311411311411
410,311411,3114111,"Frozen fruits, juices, ades, drinks, and cocktails",PCU3114113114111
411,311411,31141111,Frozen fruits,PCU31141131141111
412,311411,31141116,"Frozen concentrated juices, excluding orange juice",PCU31141131141116
413,311411,31141117,"Frozen concentrated orange juice, consumer and institutional",PCU31141131141117
414,311411,3114114,Frozen vegetables,PCU3114113114114
415,311411,31141147,"Frozen vegetables, other than potoato products",PCU31141131141147
416,311411,31141148,"Frozen potato products (French-fried, patties, puffs, etc.)",PCU31141131141148
417,311411,311411M,Miscellaneous receipts,PCU311411311411M
418,311411,311411P,Primary products,PCU311411311411P
419,311411,311411S,Secondary products,PCU311411311411S
420,311412,311412,Frozen specialty food manufacturing,PCU311412311412
421,311412,3114121,"Frozen dinners (beef, pork, and poultry pies) and nationality foods, incl. frozen pizza",PCU3114123114121
422,311412,3114124,"Other frozen specialties, excluding seafood",PCU3114123114124
423,311412,311412P,Primary products,PCU311412311412P
424,311412,311412S,Secondary products,PCU311412311412S
425,311412,311412SS,Secondary products,PCU311412311412SS
426,31142-,31142-,"Fruit & vegetable canning, pickling & drying",PCU31142-31142-
427,311421,311421,Fruit and vegetable canning,PCU311421311421
428,311421,3114211,"Canned fruits, excluding baby foods",PCU3114213114211
429,311421,3114215,Canned vegetables,PCU3114213114215
430,311421,311421A,Canned vegetable juices,PCU311421311421A
431,311421,311421D,Canned catsup and other tomato based sauces,PCU311421311421D
432,311421,311421G,"Canned jams, jellies, and preserves",PCU311421311421G
433,311421,311421K,"Canned and fresh fruit juices, nectars, and concentrates",PCU311421311421K
434,311421,311421M,Miscellaneous receipts,PCU311421311421M
435,311421,311421MM,Miscellaneous receipts,PCU311421311421MM
436,311421,311421P,Primary products,PCU311421311421P
437,311421,311421Q,"Pickles and other pickled products, including horseradish",PCU311421311421Q
438,311421,311421S,Secondary products,PCU311421311421S
439,311421,311421SS,Secondary products,PCU311421311421SS
440,311422,311422,Specialty canning,PCU311422311422
441,311422,3114225,Canned baby foods and other canned specialty/nationality foods,PCU3114223114225
442,311422,3114226,"Canned soups and stews, excluding frozen and seafood",PCU3114223114226
443,311422,3114227,Canned dry beans,PCU3114223114227
444,311422,311422P,Primary products,PCU311422311422P
445,311422,311422S,Secondary products,PCU311422311422S
446,311422,311422SS,Secondary products,PCU311422311422SS
447,311423,311423,Dried and dehydrated food manufacturing,PCU311423311423
448,311423,3114231,Soup mixes (dried/dehydrated/freeze-dried) and bouillon,PCU3114233114231
449,311423,3114235,"Dried and dehydrated fruits and vegetables, incl. freeze-dried",PCU3114233114235
450,311423,3114237,"Macaroni/noodle prod., pkg w/ oth. ingred., exc. canned/frozen",PCU3114233114237
451,311423,3114238,Other purchased products pkg w/ dried/dehydrated ingredients,PCU3114233114238
452,311423,311423M,Miscellaneous receipts,PCU311423311423M
453,311423,311423P,Primary products,PCU311423311423P
454,311423,311423S,Secondary products,PCU311423311423S
455,311423,311423SS,Secondary products,PCU311423311423SS
456,3115--,3115--,Dairy product mfg,PCU3115--3115--
457,31151-,31151-,Dairy product (except frozen) mfg,PCU31151-31151-
458,311511,311511,Fluid milk manufacturing,PCU311511311511
459,311511,3115111,"Fluid milk and cream, bulk sales",PCU3115113115111
460,311511,3115115,"Fluid milk and related products, packaged (incl. cartons, bottles, cans, etc.) excl. U.H.T.",PCU3115113115115
